id,rank,name,nat,age,birth,turned_pro,weight,height,plays,aces,double_faults,f_serve,f_serve_won,s_serve_won,break_faced,break_saved,serve_played,serve_won,serve_points_won,re_f_serve_won,re_s_serve_won,break_opp,break_conv,re_games_played,re_games_won,re_points_won,total_points_won,prize,prize_year,score,score_year,coach,place_birth,residence
47,48,MischaZverev,GER,31.0,1987.08.22,2005.0,88.0,191.0,"Left-Handed,Two-Handed",1519.0,646.0,65.0,69.0,49.0,2192.0,61.0,3644.0,76.0,62.0,29.0,48.0,1920.0,39.0,3700.0,20.0,36.0,49.0,5005518,756436.0,129-178,19-23,AlexanderZverevSr.,"Moscow,Russia","MonteCarlo,Monaco"
48,49,RobinHaase,NED,31.0,1987.04.06,2005.0,77.0,191.0,"Right-Handed,Two-Handed",2653.0,1112.0,60.0,72.0,50.0,2919.0,60.0,5202.0,78.0,63.0,29.0,48.0,2759.0,40.0,5227.0,21.0,36.0,49.0,6230092,766223.0,213-240,23-24,RaymondKnaap,"TheHague,TheNetherlands","Turnhout,Belgium"
49,50,MaximilianMarterer,GER,23.0,1995.06.15,2015.0,84.0,191.0,"Left-Handed,Two-Handed",288.0,102.0,63.0,69.0,54.0,305.0,59.0,603.0,79.0,64.0,26.0,44.0,260.0,34.0,609.0,15.0,33.0,48.0,1008889,666910.0,18-31,18-17,MichaelKohlmann,"Nuremberg,Germany","Stein,Germany"
50,51,AndreasSeppi,ITA,34.0,1984.02.21,2002.0,78.0,191.0,"Right-Handed,Two-Handed",3253.0,1852.0,58.0,70.0,50.0,4946.0,60.0,8361.0,76.0,62.0,30.0,50.0,4850.0,40.0,8457.0,23.0,38.0,50.0,9539472,724849.0,345-367,18-17,MassimoSartori,"Bolzano,Italy","Caldaro,Italy"
51,52,AlbertRamos-Vinolas,ESP,30.0,1988.01.17,2007.0,80.0,188.0,"Left-Handed,Two-Handed",1318.0,970.0,62.0,68.0,51.0,2706.0,61.0,4468.0,76.0,62.0,29.0,50.0,2584.0,40.0,4509.0,23.0,37.0,50.0,6257706,767314.0,174-200,17-22,"JoseMariaDiaz,NoeLosmozos,JuanM.Ros","Barcelona,Spain","Mataro,Spain"
52,53,RyanHarrison,USA,26.0,1992.05.07,2007.0,84.0,185.0,"Right-Handed,Two-Handed",1788.0,862.0,59.0,72.0,50.0,1819.0,62.0,3209.0,79.0,63.0,27.0,47.0,1474.0,39.0,3177.0,18.0,35.0,49.0,4356138,635508.0,114-148,21-19,DavideSanguinetti,"Shreveport,LA,USA","Austin,TX,USA"
53,54,MatthewEbden,AUS,30.0,1987.11.26,2006.0,80.0,188.0,"Right-Handed,Two-Handed",886.0,720.0,61.0,70.0,45.0,1161.0,57.0,1884.0,73.0,61.0,28.0,47.0,962.0,38.0,1872.0,19.0,35.0,48.0,2554503,535161.0,62-99,13-15,LiamSmith,"Durban,SouthAfrica","Perth,Australia"
54,55,JohnMillman,AUS,29.0,1989.06.14,2006.0,79.0,183.0,"Right-Handed,Two-Handed",427.0,208.0,63.0,68.0,52.0,745.0,57.0,1288.0,75.0,62.0,28.0,50.0,696.0,42.0,1275.0,23.0,37.0,50.0,1853718,443743.0,43-58,14-15,JonasLuetjen,"Brisbane,Australia","Brisbane,Australia"
55,56,BenoitPaire,FRA,29.0,1989.05.08,2007.0,80.0,196.0,"Right-Handed,Two-Handed",3032.0,1636.0,52.0,74.0,46.0,2912.0,60.0,4553.0,74.0,61.0,32.0,49.0,2703.0,41.0,4556.0,24.0,38.0,49.0,6008920,774667.0,174-191,21-22,Jean-CharlesDiame,"Avignon,France","Geneva,Switzerland"
56,57,MatteoBerrettini,ITA,22.0,1996.04.12,2015.0,90.0,196.0,"Right-Handed,Two-Handed",211.0,65.0,61.0,75.0,52.0,174.0,60.0,395.0,82.0,66.0,27.0,45.0,201.0,32.0,399.0,16.0,34.0,50.0,690676,555181.0,16-15,16-14,"VincenzoSantopadre,UmbertoRianna","Rome,Italy","Rome,Italy"
